run,epoch,time,node,success_rate,avg_latency,drop_rate,trust_score,packets_forwarded,invalid_sig,is_malicious,alpha,rho,theta,block_size
alpha0_run0,1,0,10.0.0.1,0.86,108.51,0.0,0.8227,1,0,0,0.0,0.4,0.3571,12
alpha0_run0,1,0,10.0.0.2,0.902,100.0,0.0,0.8303,0,0,0,0.0,0.4,0.3571,12
alpha0_run0,1,0,10.0.0.3,0.86,119.16,0.0,0.8211,1,0,0,0.0,0.4,0.3571,12
alpha0_run0,1,0,10.0.0.4,0.902,115.09,0.0,0.828,1,0,0,0.0,0.4,0.3571,12
alpha0_run0,1,0,10.0.0.5,0.86,100.0,0.0,0.824,0,0,0,0.0,0.4,0.3571,12
alpha0_run0,2,10,10.0.0.1,0.9835,116.65,0.0,0.8559,3,0,0,0.0,0.09,0.4587,18
alpha0_run0,2,10,10.0.0.2,0.9835,111.17,0.0,0.8621,3,0,0,0.0,0.09,0.4587,18
alpha0_run0,2,10,10.0.0.3,0.9664,131.04,0.0,0.8501,3,0,0,0.0,0.09,0.4587,18
alpha0_run0,2,10,10.0.0.4,0.9835,102.16,0.0,0.8618,3,0,0,0.0,0.09,0.4587,18
alpha0_run0,2,10,10.0.0.5,0.9885,119.62,0.0,0.8571,3,0,0,0.0,0.09,0.4587,18
alpha0_run0,3,20,10.0.0.1,0.9972,118.03,0.0,0.881,6,0,0,0.0,0.064,0.4699,19
alpha0_run0,3,20,10.0.0.2,0.9972,111.17,0.0,0.8864,3,0,0,0.0,0.064,0.4699,19
alpha0_run0,3,20,10.0.0.3,0.9972,110.93,0.0,0.878,7,0,0,0.0,0.064,0.4699,19
alpha0_run0,3,20,10.0.0.4,0.9972,103.38,0.0,0.8874,5,0,0,0.0,0.064,0.4699,19
alpha0_run0,3,20,10.0.0.5,0.9986,107.77,0.0,0.8836,5,0,0,0.0,0.064,0.4699,19
alpha0_run0,4,30,10.0.0.1,0.7898,102.57,0.0,0.8698,7,0,0,0.0,0.0775,0.464,18
alpha0_run0,4,30,10.0.0.2,0.9998,127.47,0.0,0.9013,8,0,0,0.0,0.0775,0.464,18
alpha0_run0,4,30,10.0.0.3,0.9999,96.01,0.0,0.9002,13,0,0,0.0,0.0775,0.464,18
alpha0_run0,4,30,10.0.0.4,0.9999,126.03,0.0,0.9022,10,0,0,0.0,0.0775,0.464,18
alpha0_run0,4,30,10.0.0.5,1.0,117.14,0.0,0.901,7,0,0,0.0,0.0775,0.464,18
alpha0_run0,5,40,10.0.0.1,0.9941,115.56,0.0,0.8906,10,0,0,0.0,0.0443,0.4788,19
alpha0_run0,5,40,10.0.0.2,1.0,132.27,0.0,0.9111,11,0,0,0.0,0.0443,0.4788,19
alpha0_run0,5,40,10.0.0.3,1.0,110.03,0.0,0.9136,16,0,0,0.0,0.0443,0.4788,19
alpha0_run0,5,40,10.0.0.4,1.0,131.62,0.0,0.9118,12,0,0,0.0,0.0443,0.4788,19
alpha0_run0,5,40,10.0.0.5,1.0,115.57,0.0,0.9133,9,0,0,0.0,0.0443,0.4788,19
alpha0_run0,6,50,10.0.0.1,0.9986,122.07,0.0,0.9049,12,0,0,0.0,0.0306,0.4852,19
alpha0_run0,6,50,10.0.0.2,1.0,144.91,0.0,0.916,12,0,0,0.0,0.0306,0.4852,19
alpha0_run0,6,50,10.0.0.3,1.0,116.67,0.0,0.922,17,0,0,0.0,0.0306,0.4852,19
alpha0_run0,6,50,10.0.0.4,1.0,113.87,0.0,0.9212,16,0,0,0.0,0.0306,0.4852,19
