run,time,src,dest,path,hops,latency_ms,delivered,alpha
alpha0_run0,0,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.1->10.0.0.4,2,128.37,1,0.0
alpha0_run0,0,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.4->10.0.0.2,2,150.32,1,0.0
alpha0_run0,0,10.0.0.4,10.0.0.2,10.0.0.4->10.0.0.2,1,0.0,1,0.0
alpha0_run0,0,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.3->10.0.0.5,2,163.87,1,0.0
alpha0_run0,3,10.0.0.4,10.0.0.5,10.0.0.4->10.0.0.5,1,0.0,1,0.0
alpha0_run0,3,10.0.0.3,10.0.0.5,10.0.0.3->10.0.0.2->10.0.0.5,2,166.16,1,0.0
alpha0_run0,4,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.5->10.0.0.4,2,101.98,1,0.0
alpha0_run0,5,10.0.0.5,10.0.0.4,10.0.0.5->10.0.0.4,1,0.0,1,0.0
alpha0_run0,5,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.1->10.0.0.2,2,111.25,1,0.0
alpha0_run0,6,10.0.0.2,10.0.0.5,10.0.0.2->10.0.0.3->10.0.0.5,2,142.15,1,0.0
alpha0_run0,6,10.0.0.4,10.0.0.1,10.0.0.4->10.0.0.5->10.0.0.1,2,125.14,1,0.0
alpha0_run0,7,10.0.0.5,10.0.0.1,10.0.0.5->10.0.0.1,1,0.0,1,0.0
alpha0_run0,7,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.4->10.0.0.3,2,118.69,1,0.0
alpha0_run0,7,10.0.0.1,10.0.0.5,10.0.0.1->10.0.0.2->10.0.0.5,2,111.74,1,0.0
alpha0_run0,7,10.0.0.3,10.0.0.4,10.0.0.3->10.0.0.5->10.0.0.4,2,146.83,1,0.0
alpha0_run0,7,10.0.0.5,10.0.0.2,10.0.0.5->10.0.0.3->10.0.0.2,2,142.65,1,0.0
alpha0_run0,9,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.1->10.0.0.3,2,133.74,1,0.0
alpha0_run0,9,10.0.0.3,10.0.0.1,10.0.0.3->10.0.0.4->10.0.0.1,2,69.47,1,0.0
alpha0_run0,9,10.0.0.3,10.0.0.1,10.0.0.3->10.0.0.2->10.0.0.1,2,96.61,1,0.0
alpha0_run0,11,10.0.0.4,10.0.0.1,10.0.0.4->10.0.0.3->10.0.0.1,2,94.68,1,0.0
alpha0_run0,12,10.0.0.5,10.0.0.3,10.0.0.5->10.0.0.4->10.0.0.3,2,95.75,1,0.0
alpha0_run0,12,10.0.0.2,10.0.0.3,10.0.0.2->10.0.0.1->10.0.0.3,2,104.95,1,0.0
alpha0_run0,12,10.0.0.1,10.0.0.2,10.0.0.1->10.0.0.2,1,0.0,1,0.0
alpha0_run0,12,10.0.0.4,10.0.0.5,10.0.0.4->10.0.0.5,1,0.0,1,0.0
alpha0_run0,13,10.0.0.3,10.0.0.5,10.0.0.3->10.0.0.4->10.0.0.5,2,110.72,1,0.0
alpha0_run0,15,10.0.0.4,10.0.0.1,10.0.0.4->10.0.0.3->10.0.0.1,2,140.19,1,0.0
alpha0_run0,17,10.0.0.3,10.0.0.2,10.0.0.3->10.0.0.2,1,0.0,1,0.0
alpha0_run0,17,10.0.0.4,10.0.0.5,10.0.0.4->10.0.0.1->10.0.0.5,2,126.45,1,0.0
